推,噓,分數,作者,標題,時間
12,5,7,APPLEin5566 (泰山下智久),[問卦] 我睡了老闆的女兒，怎麼辦？,Fri Nov  8 23:48:13 2019
15,40,-25,mOoOm ( Simon),[新聞] 驚人預測 命理師看韓蔡得票數 居然發現,Sat Nov  9 07:10:12 2019
2,10,-8,mjj90138 (蔡包),[問卦] 洞六洞洞 部隊返陽,Sat Nov  9 06:21:52 2019
2,1,1,hmt17 (Popo:(bﾟ▽ﾟ)b),[問卦] 驚! 3年a班 川榮李奈 喜獲一子!,Sat Nov  9 03:39:13 2019
6,1,5,s511162004 (abcd1234),[問卦] 台中現在有什麼地方好去的,Sat Nov  9 10:25:09 2019
4,1,3,aa7713333 (PaulFrank),[問卦] 有沒有東興耀揚唱愛我別走的卦,Sat Nov  9 01:17:59 2019
9,5,4,black1x2y3z (安),[問卦] 飛機上要點什麼才顯得的專業？,Sat Nov  9 08:36:26 2019
161,154,7,Bignana (血神霸臨戰天下),[公告] 文殊起劍，十一月份置底閒聊區,Sat Nov  2 00:18:51 2019
2,1,1,Cassander (Cassander),[新聞] 邱純枝：有能力滿足菲國工業4.0與商用空調,Sat Nov  9 08:22:31 2019
36,2,34,z770808 (),[新聞] 關稅不炸了？川普驚人回應 引爆陸官媒怒,Sat Nov  9 11:30:11 2019
11,0,11,cutiehoneyzu (McHilo),[新聞] 12強複賽賽程出爐！台灣下周一起依序交手墨韓,Fri Nov  8 23:39:09 2019
3,0,3,isagoo (古先生),Re,Fri Nov  8 23:00:31 2019
10,15,-5,WaWa3 (寂寞的麻糬),[問卦] 好想跟肉肉女做愛怎辦？,Sat Nov  9 00:33:01 2019
6,15,-9,Lampaininder ( ),[新聞] 列民進黨不分區立委?王浩宇給神秘數字:3,Sat Nov  9 08:19:11 2019
8,1,7,lianpig5566 (家庭教師殺手里包恩),[問卦] 為什麼不用網路出國就好了,Sat Nov  9 01:44:52 2019
39,61,-22,davidex (玉藻前我的),[新聞] 嘆高雄選戰因「一碗魯肉飯」失利 陳菊：,Sat Nov  9 08:29:20 2019
6,1,5,TyuzuChou (子瑜我老婆),Re,Fri Nov  8 23:56:21 2019
258,3,255,petingo (皮挺哥),Re,Sat Nov  9 01:37:53 2019
6,0,6,qope (交女朋友好難),[問卦] 張國煒說愛飛機有可能是自我催眠嗎?,Fri Nov  8 23:50:31 2019
1,1,0,hth9494 (掰掰惹 仙度瑞拉),[問卦] 太魯閣號電線斷掉怎麼辦,Sat Nov  9 00:01:26 2019
6,1,5,satanhotdog (satanhotdog),Re,Sat Nov  9 11:12:59 2019
11,3,8,trylin (好人好事代表),[問卦] 獨立號墜毀了qqqqq,Sat Nov  9 01:16:05 2019
2,3,-1,brella (府城嚴選臭懶趴),Re,Fri Nov  8 23:45:18 2019
11,4,7,kevin91 (只發費文),[問卦] 跑完半馬發一堆勵志文的在想什麼？,Fri Nov  8 23:13:32 2019
3,0,3,fack3170 (法克),[問卦] PTT胡亂檢舉的情況是不是很嚴重?,Fri Nov  8 23:38:02 2019
3,0,3,gyGirl (妹),[問卦] 有沒有紅磚的八卦?,Sat Nov  9 11:52:25 2019
2,0,2,unclefucka (Comic Lo ),Re,Sat Nov  9 03:59:04 2019
7,4,3,OAO5566 (OAO),[問卦] 少子化是豪洨的嗎？,Fri Nov  8 22:58:59 2019
2,0,2,longyin (龍吟很難嗎？為什麼),Re,Sat Nov  9 10:54:40 2019
12,2,10,rescueme (小平),Re,Sat Nov  9 00:44:03 2019
11,75,-64,waymayday (不要問),[新聞] 韓唱《我現在要出征》 他驚藏有對高雄的,Sat Nov  9 10:40:14 2019
9,1,8,gentleman888 (),[新聞] 玻利維亞大選暴亂 女鎮長遭示威者私刑,Sat Nov  9 11:37:57 2019
6,0,6,gino0717 (gino0717),[問卦] 在福克蘭群島當總督是什麼感覺,Fri Nov  8 23:59:26 2019
4,6,-2,Rrrxddd (柯韓粉RR),Re,Sat Nov  9 11:48:03 2019
16,2,14,sodistrues (true),[問卦] 台灣人覺得九份老街不好玩 很普遍嗎？,Fri Nov  8 23:28:49 2019
32,4,28,jeff0025 (),[問卦] 朱元璋算是庶民皇帝嗎?,Sat Nov  9 09:16:20 2019
5,3,2,q5212 (q5212),[新聞] 傳捷報！朝陽科大資管系AI自動挑選水果AP,Sat Nov  9 11:51:22 2019
5,1,4,RodrigueZ810 (裝小維),[問卦] 有沒有帳號部隱版的八卦?,Sat Nov  9 11:26:28 2019
3,0,3,dlevel (府城中西里菜),Re,Sat Nov  9 11:36:40 2019
53,4,49,kid33 (),[新聞] 尷尬了！警攔停百萬名車 車窗敲不破？民,Sat Nov  9 10:14:14 2019
10,3,7,syearth (sysearth),Re,Sat Nov  9 10:50:01 2019
2,0,2,aabbcc520 (U質文),[問卦] 要如何把比較的心態拿掉的八卦,Fri Nov  8 23:39:41 2019
1,0,1,mynewid (before sunshit),Re,Sat Nov  9 09:04:21 2019
5,2,3,wer50888 (逢甲陳柏霖),[問卦] 買早餐遇到兩個歐巴桑排在一起要多久,Sat Nov  9 09:51:52 2019
3,15,-12,silver5566 (吟五六),[問卦] 進擊的巨人想要殺光牆外所有人?,Sat Nov  9 10:55:10 2019
3,0,3,k321045 (蒜泥厲害),[新聞] 關西機場跑道又封鎖，疑似發現無人機,Sat Nov  9 08:09:31 2019
7,3,4,chamge7788 (經濟王7887),[問卦] 綠碳化矽砂輪為何結合度都偏軟,Sat Nov  9 08:03:47 2019
3,0,3,chi12345678 (♥經典 FY細角),[問卦] 畫面的右邊有什麼？我很好奇！,Sat Nov  9 03:34:05 2019
5,1,4,iam168888888 (射精),[新聞] 林書豪決勝節扮關鍵要角 CBA北京首鋼3連,Fri Nov  8 23:39:19 2019
9,1,8,sheng612 (無聊的人),Re,Sat Nov  9 08:06:31 2019
3,0,3,q214789635 (9527),[問卦] 長大後會感覺電影預告臺配口白很中二嗎?,Sat Nov  9 00:59:10 2019
8,3,5,ccyaztfe (best_troll_tw),[問卦] 在早餐店被小蘿莉姐妹圍觀，該怎麼辦？,Sat Nov  9 09:27:27 2019
3,0,3,wuke (有人責備我們不夠深入),Re,Fri Nov  8 23:35:13 2019
0,0,0,songgood (ilovegoodgame),Re,Fri Nov  8 23:51:22 2019
7,6,1,AngryYouth (森寶),[問卦] 我兒子因為傷害罪進監獄,Sat Nov  9 00:54:40 2019
9,1,8,fireheart988 (耶嘿),[爆卦] 柏林圍牆倒塌30周年,Sat Nov  9 01:32:36 2019
